Paper,Authors,Affiliation,DOI,Date,Venue,Goal,Research Questions,Key Findings,Future Work,Scope from our taxonomy,SDLC stage from waterfall,Context,Eligibility score
Can Developers Prompt? A Controlled Experiment for Code Documentation Generation,"Hans-Alexander Kruse, Tim Puhlfürß, Walid Maalej",Academia,https://doi.org/10.48550/arXiv.2408.00686,2024,ICSME'24,"The goal of this paper is to investigate how well developers can prompt large language models (LLMs) to generate code documentation, and to compare the developer experience between using ad-hoc prompts versus a predefined few-shot prompt.","RQ1: How well can developers prompt LLMs to generate code documentation compared to a predefined prompt? 
RQ2: How is the developer experience for ad-hoc prompting compared to executing predefined prompts?","1. Developers, especially less experienced students, struggled to effectively prompt LLMs to generate high-quality code documentation using ad-hoc prompts.
2. Predefined few-shot prompts generated higher quality code documentation compared to ad-hoc prompts, especially for less experienced developers.
3. Both ad-hoc and predefined prompt interactions improved code comprehension, but the generated documentation was often viewed as an intermediate result requiring further iteration and refinement.","1. Understanding developers' prompting skills and preferences, and how to best support them
2. Identifying the preferences of both code documentation providers and consumers
3. Creating and testing new quality metrics for evaluating AI-generated code documentation",Impact,"Maintenance: After the software is already released, it may need some modifications, improvements, errors correction, and refinement accordingly.",Professional,4
Case Study: Using AI-Assisted Code Generation In Mobile Teams,"Mircea-Serban Vasiliniuc, Adrian Groza",Academia,DOI: 10.1109/ICCP60212.2023.10398656,2023,ICCP'23,"The goal of this study is to evaluate the performance of AI-assisted programming in actual mobile development teams that are focused on native mobile languages like Kotlin and Swift, with the aim of understanding the impact of using AI-based code generators on technical onboarding, technical stack switch, and technical integration efforts.","1. How can an AI-based code generator affect the experience when onboarding a new team member or switching technical stacks of an existing colleague?
2. Can AI-based code generators affect the performance (completion time, correctness) of technical onboarding or technical stack switch tasks?
3. Can AI-based code generators affect the technical integration efforts of a mobile development team?","1. Using AI-assisted code generation tools can significantly reduce the time taken to complete technical onboarding and technical stack switch tasks, with a 35% decrease in task duration for technical onboarding and a 45% decrease for technical stack switch tasks.
2. While AI-assisted tools can improve task completion time, they may have a slightly negative impact on the correctness of the solutions, as measured by unit test scores.
3. The impact of AI-assisted tools on technical integration, as measured by the ReviewerScore, was mixed, with better scores for solutions without AI assistance during the technical onboarding phase, but better scores for AI-assisted solutions during the technical stack switch phase.
4. Effective prompt engineering was found to be crucial for getting the best results from the AI-assisted tools, with participants who were more adept at modifying prompts achieving higher correctness and ReviewerScores.",Not mentioned,Impact,Unspecified,Professional,3.5
CoLadder: Supporting Programmers with Hierarchical Code Generation in Multi-Level Abstraction,"Ryan Yen, Jiawen Zhu, Sangho Suh, Haijun Xia, Jian Zhao",Academia,https://doi.org/10.48550/arXiv.2310.08699,2023,arXiv,The goal of the study is to explore design opportunities for supporting programmers in the intention formation process and the subsequent externalization process when using LLM-driven code assistants.,"1. Whether and how CoLadder supports programmers in their intention formation and externalization process?
2. Whether CoLadder provides programmers with control when translating intentions into generated code?
3. Whether and how CoLadder reduces context switching between prompt authoring and results evaluation?
4. Whether CoLadder enhances prompt-code correspondence for programmers to evaluate generated code?","1. CoLadder helps programmers form and externalize their intentions for solving programming tasks through a hierarchical prompt structure and block-based design.
2. CoLadder provides programmers with control over the translation of their intentions into code by allowing direct manipulation of prompt blocks at multiple levels of abstraction.
3. CoLadder reduces the cognitive burden of switching between prompt authoring and code evaluation, enhancing programmers' ability to perceive, interpret, and evaluate the LLM's output.","1. Exploring the applicability of CoLadder's design principles to other programming languages beyond scripting languages, such as compiled languages.
2. Investigating ways to better align the prompt structure with the generated code structure, especially for programming languages or scenarios where the task and code structures can deviate significantly.
3. Focusing on enhancing programmers' control over the AI-generated code, as well as their control over the program itself, to address the limitations observed in the current study.","Form, Impact",Unspecified,Professional,4
Conversing with Copilot: Exploring Prompt Engineering for Solving CS1 Problems Using Natural Language,"Paul Denny, Nasser Giacaman, Viraj Kumar",Academia,https://doi.org/10.1145/3545945.3569823,2023,SIGCSE'23,"The goal of this paper is to explore the performance of the Copilot AI code generation model on a set of introductory programming problems, as well as the effectiveness of ""prompt engineering"" - modifying the natural language problem descriptions to guide Copilot towards generating correct solutions.","RQ1: How well does Copilot perform, at the current time, on a public repository of CS1 programming problems? 
RQ2: To what extent do natural language modifications to the problem description lead to the generation of successful solutions after Copilot initially fails? 
RQ3: What commonalities exist amongst problems that Copilot cannot solve, despite reasonable prompt engineering effort?","1. Copilot was able to solve around 50% of the 166 CS1 programming problems from the CodeCheck dataset on the first attempt without any prompt engineering.
2. Prompt engineering, where the natural language problem description is modified to provide more guidance, allowed Copilot to solve an additional 60% of the remaining problems that it initially failed.
3. The types of problems that Copilot struggled with the most were those involving conceptual understanding (e.g., swapping neighboring elements) or those with verbose prompts that were difficult for the model to parse.","1. Investigating security and privacy mechanisms to protect confidential data when using AI tools, including prompt sanitization.
2. Conducting more empirical research on the organizational factors, such as culture and size, that impact the use and adoption of AI tools by practitioners.
3. Studying the content and structure of training materials and manuals to help practitioners become more effective users of AI tools, particularly around prompt engineering.",Impact,"Coding: In this phase the whole requirements will be converted to the production environment., Requirement: Is a description of a system behavior to be developed.",Educational,3.5
Copilot Evaluation Harness: Evaluating LLM-Guided Software Programming,"Anisha Agarwal, Aaron Chan, Shubham Chandel, Jinu Jang, Shaun Miller, Roshanak Zilouchian Moghaddam, Yevhen Mohylevskyy, Neel Sundaresan, Michele Tufano",Industry,https://doi.org/10.48550/arXiv.2402.14261,2024,arXiv,"The goal of this paper is to introduce the Copilot Evaluation Harness, a comprehensive framework for evaluating the performance of Large Language Models (LLMs) in various software engineering tasks when integrated into Integrated Development Environments (IDEs).","RQ1. Model Comparison: How do different LLMs compare to one another when integrated with a coding assistant? 
RQ2. Integration Improvements: What insights can the Copilot Evaluation harness provide engineers to improve the integration of LLM in a coding assistant? 
RQ3. Data Validity: How do our evaluation test cases compare with actual usage of an LLM-powered coding assistant? Do the test cases in our harness reflect how real-world users interact with an LLM-powered coding assistant?","1. Comparison of LLM performance: GPT-4 generally outperforms GPT-3.5 and CodeLlama, with some exceptions like C# where GPT-3.5 outperforms the other two.
2. Insights for improving LLM integration: The evaluation harness can provide insights to improve the integration of LLMs in coding assistants, such as adding instructions to the prompt to not change the focal code.
3. Validity of the evaluation dataset: The test cases in the dataset are representative of how developers actually use the LLM-powered coding assistant.",Future work on this project involves reporting results for the remaining three evaluation metrics and open-sourcing our data and evaluation code.,"Impact, Quality",Unspecified,Professional,3.5
Copilot for Xcode: Exploring AI-Assisted Programming by Prompting Cloud-based Large Language Models,"Wei Chee,  Tan, Shangxin Guo, Man Fai Wong, Ching Nam Hang",Academia,https://doi.org/10.48550/arXiv.2307.14349,2023,arXiv,The goal of this paper is to introduce and describe an AI-assisted programming tool called Copilot for Xcode that integrates cloud-based large language models with Apple's Xcode IDE to enhance productivity and creativity for software development in the Apple ecosystem.,"How to enable the functionality of GitHub Copilot in Xcode?
How good is Copilot for Xcode in tackling real-world programming challenges through AI-assisted programming?","1. Copilot for Xcode is an AI-assisted programming tool that integrates cloud-based large language model services with Apple's Xcode IDE to enhance software development productivity and creativity.
2. Copilot for Xcode enables real-time code suggestions and prompt engineering to facilitate interaction between human programmers and large language models.",Not mentioned,"Form, Impact",Unspecified,Professional,2.5
CoPrompt: Supporting Prompt Sharing and Referring in Collaborative Natural Language Programming,"Li Feng, Ryan Yen, Mingming Fan, Jian Zhao, Zhicong Lu",Academia,https://doi.org/10.1145/3613904.3642212,2024,CHI'24,"The goal of the research paper is to explore the design of workflows that support programmers in Prompt Co-Engineering, which involves collaboratively refining and sensemaking prompts during natural language (NL) programming.","1. What are the challenges faced by programmers and their needs in the workfow of prompt coengineering?
2. How to build a system that would support programmers in their prompt engineering workfow during collaborative NL programming?
3. How does the system support programmers to understand collaborators’ progress and prompts?
4. How does the system support programmers to leverage collaborators’ work?
5. How does the system reduce the repetitive updates of prompts or code?","1. The formative study identified user challenges including maintaining group awareness and shared understanding, the repetitive effort of syncing with collaborators' work, inconvenient and disruptive feedback requests, and repetitive copy-pasting for leveraging others' work and sharing information.
2. Based on our design considerations, authors implemented a prototype, CoPrompt to supports sense-making of the collaboration process and prompt co-engineering.
3. CoPrompt supported programmers’ sense-making of collaborators’ work by providing the hierarchical overview, generating explanations associated with the prompts, and displaying historical views
4. All participants found the four mechanisms (refer, request, share, and link) easy to use, intuitive to learn, able to fulfill their requirements, and easy to control, with CoPrompt reducing the need for communication with collaborators and facilitating prompt modifications.","1. Extend the design by considering more complex prompting strategies, such as few-shot prompts.
2. Investigate the level of generation automation and controllability provided to the programmers","Form, Impact",Unspecified,Professional,3.5
Defendroid: Real-time Android code vulnerability detection via blockchain federated neural network with XAI,"Janaka Senanayake, Harsha Kalutarage, Andrei Petrovski, Luca Piras, Omar Al-Kadri",Academia,https://doi.org/10.1016/j.jisa.2024.103741,2024,Journal of Information Security and Applications,"The goal of this paper is to introduce Defendroid, a novel blockchain-based federated neural network model that can detect vulnerabilities in Android source code with high accuracy and efficiency, while also providing explanations for the predictions using Explainable AI (XAI) techniques.","1. Whether security considerations played a role in Android app developers' development practices.
2. What are the factors influencing Android app developers' limited attention to secure coding.
3. How to build a blockchain-based federated neural network enhanced with Explainable Artificial Intelligence  to reduce potential vulnerabilities during development.","1. A majority of Android app developers (55.9%) do not integrate secure coding practices into their development process.
2. The main reasons for the lack of attention to secure coding are the prioritization of functionality over security, the need for additional time and resources for manual verification, and the lack of supportive tools for automated security checking.
3. The study introduced Defendroid, a blockchain-based federated neural network model with XAI, which achieved high accuracy (96%) and F1-score (0.96) in binary and multi-class classification for Android code vulnerability detection.
4. The Defendroid model was integrated into an Android Studio plugin, enabling real-time vulnerability detection and explanation of the predictions using XAI.","1. Securing the transmission and sharing of model weights within the blockchain, and introducing an incentive mechanism to attract more clients to the federated learning environment.
2. Incorporating the Defendroid model and its API as a full product, as a user-friendly Android Studio plugin, to further improve its usability and adoption.
3. Incorporating more principles of XAI and expanding the federated learning environment to a broader audience, which is expected to lead to further improvements in the model's accuracy.",Quality,Unspecified,Professional,2.5
"Demystifying Practices, Challenges and Expected Features of Using GitHub Copilot","Beiqi Zhang, Peng Liang, Xiyu Zhou, Aakash Ahmad, Muhammad Waseem",Academia,https://doi.org/10.1142/S0218194023410048,2023,International Journal of Software Engineering and Knowledge Engineering,"The goal of this study is to understand the practices, benefits and challenges, and expected features of using GitHub Copilot from the point of view of practitioners in the context of Copilot related SO posts and GitHub discussions.","RQ1: Practices of Using GitHub Copilot
RQ1.1: What programming languages are used with GitHub Copilot?
RQ1.2: What IDEs are used with GitHub Copilot? 
RQ1.3: What technologies are used with GitHub Copilot?
RQ1.4: What functions are implemented by using GitHub Copilot?
RQ1.5: What are the purposes of using GitHub Copilot?

RQ2: Benefits, Limitations & Challenges, and Expected Features of Using GitHub Copilot
RQ2.1: What are the benefits of using GitHub Copilot?
RQ2.2: What are the limitations & challenges of using GitHub Copilot?
RQ2.3: What are the expected features of users about GitHub Copilot?","""1. The most common programming languages, IDEs, and technologies used with Copilot are JavaScript, Python, Visual Studio Code, and Node.js.
2. The primary function implemented by Copilot is data processing, and the main purpose for using it is to generate code.
3. The biggest benefit of using Copilot is its ability to generate useful code, but the main limitation is the difficulty of integrating it with different development environments. 
4. The most common feature users expect is for Copilot to be integrated with more IDEs beyond just Visual Studio Code.""","1. Conduct interviews or an online survey to get practitioners' perspectives on using Copilot, to supplement the data collected from repository mining.
2. Further explore various aspects of Copilot, especially how to improve developers' understanding of the code generated by Copilot.""",Impact,Unspecified,Professional,4
Design Principles for Collaborative Generative AI Systems in Software Development,"Johannes Chen, Jan Zacharias",Academia,https://doi.org/10.1007/978-3-031-61175-9_23,2024,DESRIST 2024,"The goal of this research is to equip organizations with comprehensive insights and a robust design framework for effectively leveraging Generative Artificial Intelligence (GAI) systems to enhance their software development processes. The framework is designed to guide the development and implementation of GAI systems across various organizational settings, addressing specific challenges and opportunities unique to each context.","1. What are specific challenges and opportunities for effectively leveraging Generative Artificial Intelligence (GAI) systems?
2. What are Design Principles for Collaborative Generative AI Systems in Software Development that would address found challenges and opportunities?","1. There are four major problem areas, including usability issues, data privacy issues, hallucination, and insufficient transparency
2. Four design requirements: user-centricity, data protection, quality control and communication","Future research could develop and evaluate a prototype for an organization-specific GAI-based programming assistant, guided by proposed design principles, to provide practical validation of theoretical findings.","Form, Impact",Unspecified,Professional,3.5
Designing PairBuddy—A Conversational Agent for Pair Programming,"Peter Robe, Sandeep Kaur Kuttal",Academia,https://doi.org/10.1145/3498326,2022,TOCHI'22,"The goal of this publication is to design and evaluate a conversational agent called ""PairBuddy"" that can serve as an interactive programming partner for pair programming.","1. How can a conversational agent be designed to effectively simulate a human partner in pair programming?
2. What are the trade-offs of replacing a human partner with a conversational agent in pair programming?","1.  Anthropomorphic design space of PairBuddy arose from integrating diverse interface and
interaction mechanisms (embodiment, dialogue styles, and agent actions) and programmer
characteristics (technical skills and soft skills).
2. PairBuddy was an effective pair programming partner and was enjoyed by study participants.","1. Explore additional avenues to provide a personalized PairBuddy experience.
2. In future studies, we will investigate whether anthropomorphic features are appropriate
for PairBuddy.
3. Future work must investigate the range of programming experience within both educational and professional settings.","Form, Impact",Unspecified,Educational,3.5
Developers' Perspective on Today's and Tomorrow's Programming Tool Assistance: A Survey,"Peng Kuang, Emma Söderberg, Martin Höst",Academia,https://doi.org/10.1145/3660829.3660848,2024,Programming '24,"The goal of this paper is to investigate developers' perceptions of current and future programming tool assistance, including their experiences with program analysis, attitudes towards AI/ML, eye-tracking, and gamification, as well as their main pain points in programming.","RQ 1: What are developers' perception on tool assistance today?
RQ 2: What are developers' perception on directions for future tool assistance?","1. Program analysis is broadly used in practice, and the majority of users find it useful, though they report frustrations with setup and results. AI-based tools are making a big entry, with the majority of participants asked about this topic reporting use for a range of programming tasks. Our participants report a variety of pain points, with code comprehension being the most prominent. English proficiency is indicated as impacting understanding, but English is at the same time reported as part of understanding in programming.
2. Participants are generally positive toward AI-based assistance and see opportunities for several improvements of existing tools using this technology. They are wary of eye-tracking, with concerns about privacy and inconvenient equipment, while being primarily negative about gamification. They see AI-based tools as the main direction to focus on for the future.","1. Improved support for code comprehension
2. Improved reliability and integration of AI-based tools
3. Continued exploration of eye tracking with a focus on what developers want",Impact,Unspecified,Professional,3.5
Discovering the Syntax and Strategies of Natural Language Programming with Generative Language Models,"Ellen Jiang, Edwin Toh, Alejandra Molina, Kristen Olson, Claire Kayacik, Aaron Donsbach, Carrie J Cai, Michael Terry","Academia, Industry",https://doi.org/10.1145/3491102.3501870,2022,CHI'22,The goal of the study was to understand the user experience of using a large generative language model to produce code from natural language descriptions.,"1) What is the user experience of using a large language model to produce code from natural language descriptions?
2) How may this new class of large language models affect users' software development practices?","1. The natural language code synthesis capabilities can be useful for certain tasks (e.g., creating boilerplate code, or doing the equivalent
of an API lookup), 
2. Users can encounter challenges in areas like learning the model’s natural language “syntax”, knowing what users can reliably ask of the model, debugging the model when it doesn’t produce the desired results","1) Providing suggestions and examples to help users learn the ""syntax"" of the model and understand what types of requests it can reliably handle.
2) Enabling more structured, conversational interactions to help users refine vague or ambiguous requests.
3) Improving model interpretability and providing AI onboarding to help users build accurate mental models of the model's capabilities.","Form, Impact",Unspecified,Professional,4
Documentation Matters: Human-Centered AI System to Assist Data Science Code Documentation in Computational Notebooks,"April Yi Wang, Dakuo Wang, Jaimie Drozdal, Michael Muller, Soya Park, Justin D. Weisz, Xuye Liu, Lingfei Wu, Casey Dugan","Academia, Industry",https://doi.org/10.1145/3489465,2022,ACM Transactions on Computer-Human Interaction,The goal of the study is to design and implement an automated documentation generation system called Themisto to support data scientists in creating better-documented computational narratives in Jupyter Notebooks.,"1. What are the characteristics of well-documented computational notebooks?
2. How can AI be used to assist data scientists in creating documentation for computational notebooks?","1. Themisto, the automated documentation generation system, reduced the time for data scientists to create documentation, reminded them to document code they would have ignored, and improved their satisfaction with their computational notebooks.
2. The quality of the documentation produced with Themisto was about the same as what data scientists produced on their own.
3. The three different approaches used by Themisto (deep-learning-based, query-based, and prompt-based) were perceived as suitable for different scenarios by the participants.
4. Most participants indicated that they would like to use Themisto in their future data science projects.","1. Exploring the long-term effects of using Themisto, including whether it helps users learn more about documentation or leads to over-reliance on the AI system.
2. Investigating hybrid and adapted approaches to code summarization, rather than fully automatic approaches.
3. Customizing the documentation recommendations based on the specific usage scenarios and needs of data science workers, taking a user-centered approach.
4. Exploring the possibility of generating code from descriptive text, as some data scientists may write documentation before writing code.","Form, Impact","Maintenance: After the software is already released, it may need some modifications, improvements, errors correction, and refinement accordingly.",Professional,4
Enhancing Code Completion with Implicit Feedback,"Haonan Jin, Yu Zhou, Yasir Hussain",Academia,DOI: 10.1109/QRS60937.2023.00030,2023,QRS'23,The goal of this paper is to introduce a novel framework called EHOPE (Enhance Code Completion with Implicit Feedback) that aims to enhance the performance of token-level code completion by leveraging users' feedback information.,"RQ1: How effective is the EHOPE method to complete code for given code segments in general?
RQ2: How does the utilization of feedback information enhance the performance of EHOPE in code completion? Specifically, how does the size of the feedback repository affect the performance of code completion?
RQ3: How do LSTM and BERT contribute to EHOPE respectively?","1. EHOPE, a novel framework, enhances token-level code completion accuracy by integrating programmers' feedback information through the use of LSTM and pre-trained model BERT.
2. Empirical experiments show that the recommendation performance of EHOPE steadily and substantially improves as the feedback data increases, outperforming the baseline code completion systems N-gram and CodeGRU.
3. The LSTM model trained with feedback data generates its own list of recommendations, which can be merged with the initial token list to improve the effectiveness of code completion.","1. Developing EHOPE into a full-fledged tool that can be integrated as a plugin for mainstream IDEs to provide better support for programming.
2. Extending the EHOPE approach to other recommendation scenarios in software engineering beyond just code completion.
3. Exploring techniques for data filtering and noise reduction to address the reliability issues with user feedback.
4. Using active learning techniques to overcome the initial lack of data in the feedback repository and provide a more robust approach.""",Quality,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
Evaluating Human-AI Partnership for LLM-based Code Migration,"Behrooz Omidvar-Tehrani, Anmol Anubhai",Industry,https://doi.org/10.1145/3613905.3650896,2024,CHI EA'24,"The goal of the paper is to understand how developers interact with and collaborate with an LLM-based code migration tool, specifically focusing on the roles of humans versus AI and how users can build trust in the outcomes generated by the AI.","RQ1: What role do developers expect LLMs to play in code migration? What is the ideal level of human involvement and oversight at different stages of the LLM action? 
RQ2: How can developers build trust with the outputs of the AI-generated code modifications for code migration?","1: Developers desire involvement not only during code review but also in directing the AI to produce the desired output using their own knowledge and the AI’s prior experience. 
2: When performing code reviews, developers hold the AI-generated code to the same standards as code written by human teammates. 
3: Varying outcomes from different LLM models necessitate tailored approaches to help developers establish trust in the AI output.",Further research should be done to explore the best way to present testing suite results information to participants.,Impact,"Maintenance: After the software is already released, it may need some modifications, improvements, errors correction, and refinement accordingly.",Professional,4
Expectation vs. Experience: Evaluating the Usability of Code Generation Tools Powered by Large Language Models,"Priyan Vaithilingam, Tianyi Zhang, Elena L Glassman","Academia, Industry",https://doi.org/10.1145/3491101.3519665,2022,CHI EA'22,"The goal of this paper is to understand how programmers use and perceive a large language model-based code generation tool, specifically GitHub Copilot, in their programming workflow.","RQ1: How does using Copilot affect the programming experience? 
RQ2: How do users recognize errors in code generated by Copilot? 
RQ3: What coping mechanisms do users employ when they find errors in code generated by Copilot? 
RQ4: What are the obstacles and limitations that can prevent adoption of Copilot?","1. Participants using Copilot failed tasks more often than those using Intellisense. However, tasks completed with Copilot were done more quickly. Despite this, 19 out of 24 participants preferred Copilot, and 23 out of 24 found it more helpful than Intellisense.
2. Participants struggled to understand code generated by Copilot. When errors occurred, frequent context switching to debugging mode added significant mental strain.
3. Participants coped with incorrect Copilot code by either attempting to repair it or discarding it entirely and searching for online solutions.
4. Major obstacles included difficulty in understanding and assessing the correctness of generated code, underestimating the effort required to fix bugs, and the brittleness and ambiguity of using comments or prompts as specifications for Copilot.","1. Providing explanations and annotations within the generated code to help users better understand it.
2. Automatically generating test cases and test data to help users validate the generated code and identify issues.
3. Exploring interaction mechanisms that better support task decomposition, as this strategy helped some participants be more successful with Copilot.
4. Integrating online search capabilities with the code generation features of Copilot, to allow users to compare AI-generated code with examples from the internet and identify the best solution.",Impact,Unspecified,Professional,3.5
Exploring Interaction Patterns for Debugging: Enhancing Conversational Capabilities of AI-assistants,"Bhavya Chopra, Microsoft Bengaluru, Yasharth Bajpai, Param Biyani, Gustavo Soares, Arjun Radhakrishna, Chris Parnin, Sumit Gulwani",Industry,https://doi.org/10.48550/arXiv.2402.06229,2024,arXiv,"The goal of this paper is to enhance the conversational capabilities of AI assistants for debugging tasks by incorporating interaction patterns beyond the standard question-answer format, such as insert expansion and guided turn-taking, in order to improve the effectiveness and fluidity of conversations between developers and AI assistants.","1. Can leveraging interaction patterns like insert expansion improve the effectiveness of an AI assistant for debugging tasks?
2. Can facilitating turn-taking and utilizing debugging workflows further enhance the conversational experience and task performance?","1. Equipping the AI assistant with knowledge of interaction patterns and debugging workflows leads to a 5-times higher success rate in task completion compared to a baseline AI assistant.
2. The AI assistant's collaborative behavior, which involves guiding the user through the debugging process and leveraging the user's expertise, leads to deeper investigation of bugs and correct identification of their root cause.
3. The AI assistant's ability to provide actionable plans and guide the user in using debugger features within the IDE lowers conversational barriers and improves the user experience.
4. The AI assistant's use of interaction patterns beyond the traditional question-answer pairs, such as insert expansion, and its ability to facilitate turn-taking, contribute to the improved effectiveness and fluidity of the conversations.","1. Exploring the use of additional interaction patterns beyond just question-answer and insert expansion to further enhance the conversational capabilities of the AI assistant for debugging.
2. Personalizing the AI assistant's responses based on the developer's level of expertise to better cater to the varied needs of beginners versus experts.
3. Enabling deeper integration of the AI assistant within the IDE, allowing it to perform automated actions like setting breakpoints and stepping through code, and improving its ability to reference and understand the user's code.","Form, Impact","Maintenance: After the software is already released, it may need some modifications, improvements, errors correction, and refinement accordingly.",Professional,3.5
Exploring the Learnability of Program Synthesizers by Novice Programmers,"Dhanya Jayagopal, Justin Lubin, Sarah E. Chasins",Academia,https://doi.org/10.1145/3526113.3545659,2022,UIST'22,"The goal of the paper is to understand how to make program synthesizers more learnable for novice programmers, in order to inform design guidelines that can make synthesizers more approachable and impactful for a broader class of users, including non-CS students.","1. What aspects of program synthesizers contribute to and detract from their learnability by novice programmers? 
2. What are key design opportunities to make synthesis tools more learnable for novice programmers.","1. Novice programmers prefer tools that allow task completion using both synthesis and manual coding strategies.  
2. Incidental specifications ease novice on-ramping to synthesizers.  
3. Triggerless synthesis initiation is more learnable but requires effective result communication.  
4. User-triggered synthesis tools should guide users on how many examples are needed for tasks.  
5. Misconceptions, like larger specifications improving performance, require proactive tool design to address them.  
6. Reducing specification burdens can include incidental specification collection.  
7. Novices struggle with distinguishing synthesis success from task progress, needing documentation or scaffolding.  
8. Awareness of pre-existing strategies benefits synthesis design.  
9. Feedback on failures and incorrect outputs aids novice understanding.  
10. Synthesis encourages reading and tracing code, supporting comprehension skills.  
11. Refining specifications while using synthesis enhances novic","1. Exploring the learnability of program synthesizers for non-CS students and domain experts who may want to use them for specific tasks without learning programming.
2. Investigating the impact of program synthesizers on novice programmers' learning outcomes in computer science education, potentially through longitudinal studies.
3. Conducting additional qualitative studies with different structures, as well as quantitative studies to further explore the hypotheses generated from this qualitative analysis.",Impact,Unspecified,Educational,3.5
"From ""Ban It Till We Understand It"" to ""Resistance is Futile"": How University Programming Instructors Plan to Adapt as More Students Use AI Code Generation and Explanation Tools such as ChatGPT and GitHub Copilot","Sam Lau, Philip J Guo",Academia,https://doi.org/10.1145/3568813.3600138,2023,ICER'23,"The goal of this paper is to present the first empirical study of computing instructors' perspectives on how they plan to adapt their courses in response to the growing prevalence of AI code generation and explanation tools, and to spur conversations within the computing education community about how to work with these tools in effective, equitable, and ethical ways.","1. How are computing educators planning to adapt their courses in response to the growing proliferation of AI code generation and explanation tools?
2. What are the instructors' perspectives on AI code generation and explanation tools?","1. In the short term, instructors plan to address cheating concerns by increasing the weight of exam scores, banning AI tools, and educating students on AI capabilities and limitations.
2. Longer-term strategies to resist AI tools include focusing on fundamental skills, addressing ethical and equity concerns, designing AI-proof assignments, and using alternative exam formats like paper, oral, and video-based assessments.
3. Plans to embrace AI tools over the long term involve providing personalized support to students, assisting instructors with time-consuming tasks, focusing on code reading and critique, creating open-ended design tasks, and encouraging collaboration between students and AI.","1. Theory-building: Investigate mental models formed by novices and experts regarding AI-generated code and AI tool processes, identifying strategies they use for validating outputs. This will inform methods to help novices develop effective mental models for AI tool usage.
2. Scaffolding novice understanding: Incorporate pedagogical elements in AI tools to clarify code suggestions and processes, drawing on techniques like grounded abstraction matching from HCI and Explainable AI research.
3. Tailoring AI coding tools for pedagogy: Adapt AI tools to support learning by encouraging deeper cognitive engagement rather than providing direct answers.
4. Adapting IDEs for AI-aware pedagogy: Redesign IDEs to promote skills such as code comprehension and critique, and discourage overreliance on AI-generated code.
5. Equity and access: Develop curricula that integrate AI tools equitably, minimizing the digital divide and ensuring equal access to modern tools for all students.
6. Efficacy studie","Impact, Other",Unspecified,Educational,4
Generation Probabilities Are Not Enough: Uncertainty Highlighting in AI Code Completions,"Helena Vasconcelos, Gagan Bansal, Adam Fourney, Q. Vera Liao, Jennifer Wortman Vaughan","Academia, Industry",https://doi.org/10.1145/3702320,2024,ACM Transactions on Computer-Human Interaction,The goal of the study was to explore whether conveying information about uncertainty via highlights in AI-powered code completion tools can enable programmers to more quickly and accurately produce code when collaborating with such tools.,"1. How much benefit uncertainty-highlighting provides to participants in terms of their task performance and efficiency
2. Whether highlighting would affect how much participants have to edit or add to the code
3. What are participants’ subjective preferences for the tools","1. Highlighting tokens with the highest predicted likelihood of being edited by a programmer leads to faster task completion and more targeted edits, and is subjectively preferred by study participants.
2. In contrast, highlighting tokens according to their probability of being generated does not provide any benefit over the baseline with no highlighting.
3. Participants prefer highlights that are granular, informative, interpretable, and not overwhelming.","1. Developing a more general-purpose edit model that can be applied to open-world scenarios, beyond the closed-world model used in this study.
2. Exploring ways to better capture the changes people would want to make to code, beyond just the edits they actually make.
3. Using more representative coding tasks and considering a broader range of code quality metrics beyond just algorithmic correctness.
4. Examining how the results might differ with a more diverse set of participants, including students and those with less programming experience.","Form, Impact",Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
Github copilot in the classroom: learning to code with AI assistance,"Ben Puryear, Gina Sprint",Academia,https://dl.acm.org/doi/abs/10.5555/3575618.3575622,2022,Journal of Computing Sciences in Colleges,"The goal of the study is to describe the experiences of alumni serving as adjunct faculty to teach introductory computer science labs, and to evaluate the effectiveness of this approach.","1. Could Copilot be a viable tool for introductory programming students?
2. Could Copilot solutions earn a passing grade score?
3. Could Copilot solutions be flagged as plagiarism?","1. Copilot is an easy-to-use and accurate-enough tool that novice programmers can use to write the majority of the code required to solve fundamental programming tasks. 
2. For an introductory data science course with Python, we found that Copilot-generated solutions earned a human-graded score between 68% and 95%. 
3. When compared to actual student-authored code, Copilot had very low code similarity scores. This suggests AI-generated solutions are unique and difficult to distinguish from human-authored solutions.",1. Observing how novice programmers utilize Copilot and analyzing similarities among code produced by different students using Copilot for the same assignment.,Impact,Coding: In this phase the whole requirements will be converted to the production environment.,Educational,3
